title,Year,average_rating,rating_count,Animation,Adventure,Mystery,Drama,Action,Romance,Musical,Comedy,Thriller,Crime,Documentary,Children,Sci-Fi,IMAX,Western,Fantasy,Horror
"Stepford Wives, The (2004)",2004.0,2.21,42,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Top Five (2014),2014.0,3.54,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Every Day (2018),2018.0,3.32,42,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
Whiplash (2013),2013.0,4.19,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Street Fight (2005),2005.0,3.49,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pretty Persuasion (2005),2005.0,3.18,42,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"History Boys, The (2006)",2006.0,3.85,42,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Over the Moon (2020),2020.0,3.33,42,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
Tears of the Sun (2003),2003.0,3.71,42,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"Guardian, The (2006)",2006.0,4.25,42,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Canal, The (2014)",2014.0,3.32,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Indignation (2016),2016.0,3.33,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Tale (2018),2018.0,3.92,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sword of the Stranger (Sutorejia: Mukô hadan) (2007),2007.0,4.06,42,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Truth or Dare (2018),2018.0,3.17,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Purge: Anarchy, The (2014)",2014.0,3.11,42,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Buster's Mal Heart (2017),2017.0,2.85,42,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Unlocked (2017),2017.0,3.38,42,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Girl in the Café, The (2005)",2005.0,4.07,41,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Karate Kid, The (2010)",2010.0,3.56,41,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Hall Pass (2011),2011.0,3.26,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Where the Heart Is (2000),2000.0,3.57,41,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
The Book of Henry (2017),2017.0,3.45,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Metal: A Headbanger's Journey (2005),2005.0,3.32,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Thirteen Lives (2022),2022.0,3.89,41,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Escaflowne: The Movie (Escaflowne) (2000),2000.0,3.8,41,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
High School Musical 3: Senior Year (2008),2008.0,3.04,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Bookshop (2017),2017.0,3.35,41,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Alone in the Wilderness (2004),2004.0,4.52,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Night Of (2016),2016.0,4.51,41,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Outfoxed: Rupert Murdoch's War on Journalism (2004),2004.0,3.74,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Little Death (2014),2014.0,3.29,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Translators (2019),2019.0,3.67,41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Forever Purge (2021),2021.0,2.72,41,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"To Do List, The (2013)",2013.0,3.44,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"I Love You, Beth Cooper (2009)",2009.0,2.35,41,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Childhood's End (2015),2015.0,3.85,41,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Don't Say a Word (2001),2001.0,3.24,41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Cat in the Hat, The (2003)",2003.0,2.99,41,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Day & Night (2010),2010.0,3.06,41,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
To Rome with Love (2012),2012.0,3.41,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
In Search of a Midnight Kiss (2007),2007.0,4.16,41,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Manhattan Night (2016),2016.0,4.02,41,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Love Song for Bobby Long, A (2004)",2004.0,4.1,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Honey Boy (2019),2019.0,3.99,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Winnie the Pooh (2011),2011.0,3.52,41,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Air I Breathe, The (2007)",2007.0,3.62,41,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
The Covenant (2023),2023.0,4.04,41,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Future World (2018),2018.0,1.22,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Before I Disappear (2014),2014.0,3.23,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sacrament, The (2013)",2013.0,4.05,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
The Mountain Between Us (2017),2017.0,2.89,40,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Haunted House, A (2013)",2013.0,3.82,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
The Last Witch Hunter (2015),2015.0,3.18,40,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
WolfCop (2014),2014.0,3.45,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Cold Skin (2017),2017.0,3.52,40,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Invasion, The (2007)",2007.0,3.16,40,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
America's Sweethearts (2001),2001.0,3.01,40,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Rocket Science (2007),2007.0,3.82,40,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Another Day of Life (2018),2018.0,3.41,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen of Hearts (2019),2019.0,3.94,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Like Stars on Earth (Taare Zameen Par) (2007),2007.0,4.31,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Texas Chainsaw Massacre: The Beginning, The (2006)",2006.0,2.1,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
An Inspector Calls (2015),2015.0,2.89,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Space Cowboys (2000),2000.0,3.52,40,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Please Stand By (2017),2017.0,3.86,40,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Closet, The (Placard, Le) (2001)",2001.0,3.89,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cove, The (2009)",2009.0,4.01,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Miss Pettigrew Lives for a Day (2008),2008.0,3.61,40,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
On the Road (2012),2012.0,2.76,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brad's Status (2017),2017.0,2.95,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Arthur Christmas (2011),2011.0,3.38,39,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"Perfect Score, The (2004)",2004.0,3.76,39,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Saints and Soldiers (2003),2003.0,2.76,39,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fighting with My Family (2019),2019.0,3.56,39,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Double, The (2011)",2011.0,3.65,39,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
Little Nicholas (Le petit Nicolas) (2009),2009.0,3.99,39,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
The Personal History of David Copperfield (2019),2019.0,3.23,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hustle (2019),2019.0,2.51,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Last Black Man in San Francisco (2019),2019.0,3.38,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TPB AFK: The Pirate Bay Away from Keyboard (2013),2013.0,3.78,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Into the Forest of Fireflies' Light (2011),2011.0,3.94,39,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
The Babysitter: Killer Queen (2020),2020.0,2.79,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Leap Year (2010),2010.0,3.77,39,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Rough Night (2017),2017.0,2.35,39,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Knock Down the House (2019),2019.0,3.62,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Escape Room: Tournament of Champions (2021),2021.0,2.91,39,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
Hobo with a Shotgun (2011),2011.0,3.95,39,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Into Eternity (2010),2010.0,3.82,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Taxi Driver (2017),2017.0,3.91,38,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"What's in a Name (Prénom, Le) (2012)",2012.0,4.37,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Quiet American, The (2002)",2002.0,3.37,38,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Black Christmas (2019),2019.0,2.33,38,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Redemption (Hummingbird) (2013),2013.0,3.22,38,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"SpongeBob SquarePants Movie, The (2004)",2004.0,3.46,38,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
The Voyeurs (2021),2021.0,3.05,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Embrace of the Serpent (2016),2016.0,4.29,38,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Covenant, The (2006)",2006.0,3.01,38,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
White Oleander (2002),2002.0,4.01,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pieces of April (2003),2003.0,3.59,38,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Innkeepers, The (2011)",2011.0,4.01,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Cooler, The (2003)",2003.0,3.47,38,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Knights of Badassdom (2013),2013.0,3.3,38,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
The Fabelmans (2022),2022.0,3.99,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Along Came a Spider (2001),2001.0,3.22,38,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"Fifth Estate, The (2013)",2013.0,3.7,38,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Strange Magic (2015),2015.0,4.03,38,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Underworld: Blood Wars (2016),2016.0,3.28,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Child 44 (2015),2015.0,2.47,38,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Tony Manero (2008),2008.0,1.0,38,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Erased (Expatriate, The) (2012)",2012.0,3.59,38,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Librarian, The: The Curse of the Judas Chalice (2008)",2008.0,3.34,38,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Analyze That (2002),2002.0,3.38,38,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
The Wonder (2022),2022.0,3.33,38,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Numbers Station, The (2013)",2013.0,3.17,38,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Soul Surfer (2011),2011.0,4.3,38,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Someone Great (2019),2019.0,3.47,38,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Joshy (2016),2016.0,3.49,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Woman at War (2018),2018.0,3.96,38,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
The Lost City (2022),2022.0,2.49,38,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Small Town Crime (2017),2017.0,2.61,38,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
K-19: The Widowmaker (2002),2002.0,3.57,38,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
He Even Has Your Eyes (2017),2017.0,3.22,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Green Inferno (2014),2014.0,2.71,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Capturing the Friedmans (2003),2003.0,3.76,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Band's Visit, The (Bikur Ha-Tizmoret) (2007)",2007.0,4.12,38,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Wimbledon (2004),2004.0,3.24,37,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
The Loft (2014),2014.0,2.96,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Class, The (Klass) (2007)",2007.0,4.35,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar 3: Europe's Most Wanted (2012),2012.0,3.31,37,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Lords of Chaos (2018),2018.0,3.72,37,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Muppets Most Wanted (2014),2014.0,3.92,37,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
One Night with the King (2006),2006.0,3.68,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmon Fishing in the Yemen (2011),2011.0,2.57,37,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
The Last Family (2016),2016.0,4.27,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grandmaster, The (Yi dai zong shi) (2013)",2013.0,3.0,37,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Head in the Clouds (2004),2004.0,2.14,37,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Rambo: Last Blood (2019),2019.0,2.81,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bobby (2006),2006.0,3.97,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Resident Evil: The Final Chapter (2017),2017.0,2.16,37,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
The Place (2017),2017.0,3.35,37,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Twilight Samurai, The (Tasogare Seibei) (2002)",2002.0,3.99,37,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Red Planet (2000),2000.0,2.58,37,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"God Who Wasn't There, The (2005)",2005.0,3.89,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Pacifier, The (2005)",2005.0,3.99,37,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Six Shooter (2004),2004.0,3.62,37,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Free Birds (2013),2013.0,2.58,37,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
Mechanic: Resurrection (2016),2016.0,3.18,37,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
The Wind (2018),2018.0,2.57,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
House of Wax (2005),2005.0,2.88,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
In Fabric (2018),2018.0,3.11,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Pervert's Guide to Cinema, The (2006)",2006.0,4.31,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Wolfpack (2015),2015.0,4.78,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Extremely Loud and Incredibly Close (2011),2011.0,3.86,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Whisperer in Darkness (2011),2011.0,1.57,36,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Mildred Pierce (2011),2011.0,3.81,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Everything Must Go (2010),2010.0,3.35,36,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Luther (2003),2003.0,3.49,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Titan (2018),2018.0,1.92,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Last Thing He Wanted (2020),2020.0,1.89,36,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Wild Wild Country (2018),2018.0,4.54,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
In the House (2012),2012.0,3.31,36,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
The White Tiger (2020),2020.0,3.64,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Do You Trust this Computer? (2018),2018.0,3.72,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Secret Things (Choses secrètes) (2002),2002.0,1.25,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mudge Boy, The (2003)",2003.0,4.28,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Mansion (2017),2017.0,1.72,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Nothing to Hide (2018),2018.0,3.28,36,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Hatred (2016),2016.0,2.47,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Creators: The Past (2020),2020.0,4.5,36,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0
Mostly Martha (Bella Martha) (2001),2001.0,3.76,36,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
The Pacific (2010),2010.0,4.01,36,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Game Plan, The (2007)",2007.0,2.65,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Prince & Me, The (2004)",2004.0,4.06,36,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Starred Up (2013),2013.0,3.85,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dance of the Dead (2008),2008.0,2.44,36,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
John Mulaney: The Comeback Kid (2015),2015.0,4.1,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Seventh Son (2014),2014.0,3.06,36,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Trapped (2002),2002.0,3.4,36,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Way of the Gun, The (2000)",2000.0,3.29,36,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Beast (2018),2018.0,3.56,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Last Life in the Universe (Ruang rak noi nid mahasan) (2003),2003.0,3.85,36,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Son of Saul (2015),2015.0,3.01,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2036 Origin Unknown (2018),2018.0,1.74,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Southpaw (2015),2015.0,3.65,36,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Parallel Mothers (2021),2021.0,3.47,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collector, The (2009)",2009.0,3.82,36,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"Shipping News, The (2001)",2001.0,3.54,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paths of the Soul (2015),2015.0,4.79,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Water Diviner, The (2014)",2014.0,3.93,36,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Scouts Guide to the Zombie Apocalypse (2015),2015.0,3.11,35,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Feast (2005),2005.0,2.36,35,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
I'm Your Man (2021),2021.0,3.7,35,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Earth to Echo (2014),2014.0,3.33,35,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
The Wolf's Call (2019),2019.0,4.13,35,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Puffy Chair, The (2006)",2006.0,3.87,35,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
American Assassin (2017),2017.0,2.86,35,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Into the Inferno (2016),2016.0,3.6,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Clovehitch Killer (2018),2018.0,3.46,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"End of Poverty, The (2008)",2008.0,4.66,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21 and Over (2013),2013.0,3.36,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Young Ones (2014),2014.0,3.56,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"Sentinel, The (2006)",2006.0,3.47,35,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
White Fang (2018),2018.0,4.3,35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
After the Storm (2016),2016.0,3.86,35,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Sherlock: The Abominable Bride (2016),2016.0,4.36,35,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Couples Retreat (2009),2009.0,2.76,35,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Men of Honor (2000),2000.0,3.29,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hedgehog, The (Le hérisson) (2009)",2009.0,4.06,35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
The Longest Ride (2015),2015.0,3.41,35,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Where the Crawdads Sing (2022),2022.0,3.5,35,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Breakfast on Pluto (2005),2005.0,3.01,35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Enough Said (2013),2013.0,3.39,35,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
The Dirt (2019),2019.0,4.13,35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Incredible Burt Wonderstone, The (2013)",2013.0,3.39,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Swimmers (2014),2014.0,3.0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Insidious: Chapter 3 (2015),2015.0,2.41,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
DOA: Dead or Alive (2006),2006.0,2.41,35,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nim's Island (2008),2008.0,3.66,35,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A Walk in the Woods (2015),2015.0,3.27,35,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Cry_Wolf (a.k.a. Cry Wolf) (2005),2005.0,3.06,35,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Pawn Sacrifice (2015),2015.0,3.64,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Behind the Candelabra (2013),2013.0,3.16,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Untamed (2016),2016.0,1.6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Attenborough: A Life on Our Planet (2020),2020.0,4.54,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A United Kingdom (2016),2016.0,2.73,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Everybody's Fine (2009),2009.0,4.06,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Robin Williams: Come Inside My Mind (2018),2018.0,4.83,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Call of Cthulhu, The (2005)",2005.0,3.47,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Tao of Steve, The (2000)",2000.0,3.17,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2 Days in Paris (2007),2007.0,3.41,35,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Decision to Leave (2022),2022.0,3.16,35,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Pooh's Heffalump Movie (2005),2005.0,3.39,35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Angels' Share, The (2012)",2012.0,3.59,35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Wine Country (2019),2019.0,2.53,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Friday Night Lights (2004),2004.0,3.71,34,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Insult (2017),2017.0,4.63,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Jay (2016),2016.0,3.9,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Much Ado About Nothing (2012),2012.0,3.32,34,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
