,title,genres,Year,average_rating,rating_count
1019494,To Rome with Love (2012),Comedy,2012.0,3.41,41
602237,Lore (2012),Drama|Thriller|War,2012.0,3.94,41
457251,I'm So Excited (Los amantes pasajeros) (2013),Comedy,2013.0,4.09,41
467306,In Search of a Midnight Kiss (2007),Comedy|Romance,2007.0,4.16,41
354306,Gainsbourg (Vie Héroïque) (2010),Drama|Musical|Romance,2010.0,3.83,41
622440,Manhattan Night (2016),Mystery|Thriller,2016.0,4.02,41
185600,Celeste and Jesse Forever (Celeste & Jesse Forever) (2012),Comedy|Drama|Romance,2012.0,3.77,41
607038,"Love Song for Bobby Long, A (2004)",Drama,2004.0,4.1,41
434552,Honey Boy (2019),Drama,2019.0,3.99,41
1090705,Winnie the Pooh (2011),Animation|Children|Comedy,2011.0,3.52,41
37845,"Air I Breathe, The (2007)",Crime|Drama|Romance|Thriller,2007.0,3.62,41
753598,Planetarium (2016),Drama|Fantasy|Mystery,2016.0,2.51,41
683303,Narc (2002),Crime|Drama|Thriller,2002.0,3.22,41
770882,Psiconautas (2015),Animation,2015.0,3.49,41
943418,The Covenant (2023),Action|Drama|Thriller|War,2023.0,4.04,41
353127,Future World (2018),Sci-Fi,2018.0,1.22,41
108662,Before I Disappear (2014),Drama,2014.0,3.23,41
807586,"Sacrament, The (2013)",Horror|Thriller,2013.0,4.05,40
803758,"Royal Affair, A (Kongelig affære, En) (2012)",Drama|Romance,2012.0,4.14,40
483157,Infinite (2021),Action|Sci-Fi|Thriller,2021.0,2.08,40
464547,Imperium (2016),Crime|Drama|Thriller,2016.0,3.15,40
982401,The Mountain Between Us (2017),Action|Adventure|Drama,2017.0,2.89,40
482685,Indie Game: The Movie (2012),Documentary,2012.0,3.72,40
1072155,War Machine (2017),Comedy|Drama|War,2017.0,3.09,40
413335,"Haunted House, A (2013)",Comedy|Horror,2013.0,3.82,40
969908,The Last Witch Hunter (2015),Action|Adventure|Fantasy,2015.0,3.18,40
1094516,WolfCop (2014),Comedy|Horror,2014.0,3.45,40
208509,Cold Skin (2017),Sci-Fi|Thriller,2017.0,3.52,40
503097,"Invasion, The (2007)",Action|Drama|Horror|Sci-Fi|Thriller,2007.0,3.16,40
49305,America's Sweethearts (2001),Comedy|Romance,2001.0,3.01,40
798557,Rocket Science (2007),Comedy|Drama,2007.0,3.82,40
312999,Evangelion: 2.0 You Can (Not) Advance (Evangerion shin gekijôban: Ha) (2009),Action|Animation|Drama|Sci-Fi,2009.0,4.2,40
1062180,Vertical Limit (2000),Action|Adventure,2000.0,3.0,40
1041579,Uncanny (2015),Drama|Sci-Fi|Thriller,2015.0,3.21,40
583252,Little Fockers (2010),Comedy,2010.0,3.21,40
61123,Another Day of Life (2018),Animation,2018.0,3.41,40
774900,Queen of Hearts (2019),Drama,2019.0,3.94,40
922071,Taxi 2 (2000),Action|Comedy,2000.0,4.18,40
580192,Like Stars on Earth (Taare Zameen Par) (2007),Drama,2007.0,4.31,40
929921,"Texas Chainsaw Massacre: The Beginning, The (2006)",Horror|Thriller,2006.0,2.1,40
55488,An Inspector Calls (2015),Drama|Thriller,2015.0,2.89,40
249988,Deliver Us from Evil (2014),Crime|Horror|Thriller,2014.0,2.85,40
776001,Rabid (2019),Horror|Sci-Fi,2019.0,3.28,40
869971,Space Cowboys (2000),Action|Adventure|Comedy|Sci-Fi,2000.0,3.52,40
179255,Casanova (2005),Action|Adventure|Comedy|Drama|Romance,2005.0,3.4,40
753811,Please Stand By (2017),Comedy|Drama,2017.0,3.86,40
1116401,Zindagi Na Milegi Dobara (2011),Adventure|Comedy|Drama|Romance,2011.0,4.58,40
202796,"Closet, The (Placard, Le) (2001)",Comedy,2001.0,3.89,40
754665,Polaroid (2017),Horror,2017.0,3.62,40
218730,"Cove, The (2009)",Documentary,2009.0,4.01,40
305959,Escape From Tomorrow (2013),Drama|Fantasy|Horror,2013.0,2.7,40
653079,Miss Pettigrew Lives for a Day (2008),Comedy|Romance,2008.0,3.61,40
659034,Monsoon Wedding (2001),Comedy|Romance,2001.0,3.49,40
711255,On the Road (2012),Adventure|Drama,2012.0,2.76,40
396196,Gulliver's Travels (2010),Adventure|Comedy|Fantasy,2010.0,3.71,40
303265,Epic Movie (2007),Adventure|Comedy,2007.0,1.11,40
153697,Brad's Status (2017),Comedy,2017.0,2.95,40
258704,Disorder (2015),Drama|Thriller,2015.0,2.79,39
74536,Arthur Christmas (2011),Animation|Children|Comedy|Drama,2011.0,3.38,39
630480,Max Manus (2008),Action|Drama|War,2008.0,3.74,39
693126,No Escape (2015),Thriller,2015.0,3.68,39
740155,"Perfect Score, The (2004)",Comedy|Crime,2004.0,3.76,39
565965,Lake Mungo (2008),Drama|Mystery|Thriller,2008.0,3.22,39
111225,"Believer, The (2001)",Drama,2001.0,3.37,39
808469,Saints and Soldiers (2003),Action|Adventure|Drama|War,2003.0,2.76,39
332897,Fighting with My Family (2019),Comedy|Drama,2019.0,3.56,39
276288,"Double, The (2011)",Action|Crime|Drama|Mystery|Thriller,2011.0,3.65,39
584896,Little Nicholas (Le petit Nicolas) (2009),Comedy|Drama,2009.0,3.99,39
987840,The Personal History of David Copperfield (2019),Drama,2019.0,3.23,39
337516,Flatliners (2017),Drama|Horror|Sci-Fi,2017.0,2.44,39
661518,Mood Indigo (L'écume des jours) (2013),Drama|Fantasy,2013.0,4.44,39
961995,The Hustle (2019),Comedy,2019.0,2.51,39
969426,The Last Black Man in San Francisco (2019),Drama,2019.0,3.38,39
1114398,Yves Saint Laurent (2014),Drama|Romance,2014.0,3.45,39
917911,TPB AFK: The Pirate Bay Away from Keyboard (2013),Documentary,2013.0,3.78,39
500017,Into the Forest of Fireflies' Light (2011),Animation|Drama|Fantasy,2011.0,3.94,39
934910,The Babysitter: Killer Queen (2020),Comedy|Horror,2020.0,2.79,39
580108,Like Crazy (2011),Drama|Romance,2011.0,3.73,39
572402,Leap Year (2010),Comedy|Romance,2010.0,3.77,39
793482,Returner (Ritaanaa) (2002),Action|Adventure|Sci-Fi,2002.0,3.73,39
701604,"OSS 117: Cairo, Nest of Spies (OSS 117: Le Caire nid d'espions) (2006)",Adventure|Comedy|Crime,2006.0,4.28,39
821858,See You Yesterday (2019),Drama|Sci-Fi,2019.0,2.44,39
651992,Miracle in Cell No. 7 (2019),Drama,2019.0,3.81,39
803630,Rough Night (2017),Comedy|Drama,2017.0,2.35,39
141469,Bodies Bodies Bodies (2022),Comedy|Horror|Thriller,2022.0,3.18,39
835376,Shirley (2020),Drama|Thriller,2020.0,3.53,39
558203,Knock Down the House (2019),Documentary,2019.0,3.62,39
306319,Escape Room: Tournament of Champions (2021),Action|Horror|Sci-Fi|Thriller,2021.0,2.91,39
432716,Hobo with a Shotgun (2011),Action|Adventure|Crime|Thriller,2011.0,3.95,39
499740,Into Eternity (2010),Documentary,2010.0,3.82,39
530216,Jolt (2021),Action,2021.0,3.45,39
391158,Gringo (2018),Action|Comedy|Drama,2018.0,2.83,38
26943,A Taxi Driver (2017),Action|Drama,2017.0,3.91,38
1082247,"What's in a Name (Prénom, Le) (2012)",Comedy,2012.0,4.37,38
775143,"Quiet American, The (2002)",Drama|Thriller|War,2002.0,3.37,38
124764,Black Christmas (2019),Horror|Mystery|Thriller,2019.0,2.33,38
784386,Redemption (Hummingbird) (2013),Action|Crime|Thriller,2013.0,3.22,38
883496,"SpongeBob SquarePants Movie, The (2004)",Adventure|Animation|Children|Comedy,2004.0,3.46,38
520803,JeruZalem (2016),Horror,2016.0,3.13,38
1001545,The Voyeurs (2021),Thriller,2021.0,3.05,38
1058783,Vampire Academy (2014),Action|Comedy|Fantasy,2014.0,2.11,38
298662,Embrace of the Serpent (2016),Adventure|Drama,2016.0,4.29,38
65821,Antitrust (2001),Crime|Drama|Thriller,2001.0,2.36,38
1065323,Visitor Q (Bizita Q) (2001),Comedy|Drama|Horror,2001.0,3.95,38
218770,"Covenant, The (2006)",Action|Horror|Thriller,2006.0,3.01,38
1086302,White Oleander (2002),Drama,2002.0,4.01,38
745701,Pieces of April (2003),Comedy|Drama,2003.0,3.59,38
915000,Sweet November (2001),Drama|Romance,2001.0,3.54,38
801789,Romeo Must Die (2000),Action|Crime|Romance|Thriller,2000.0,3.04,38
487403,"Innkeepers, The (2011)",Horror|Thriller,2011.0,4.01,38
746149,Piggy (2022),Drama|Horror|Thriller,2022.0,3.29,38
241038,Day Shift (2022),Action|Fantasy|Horror,2022.0,3.41,38
216003,"Cooler, The (2003)",Comedy|Drama|Romance,2003.0,3.47,38
555521,Knights of Badassdom (2013),Adventure|Comedy|Fantasy,2013.0,3.3,38
948136,The Fabelmans (2022),Drama,2022.0,3.99,38
43663,Along Came a Spider (2001),Action|Crime|Mystery|Thriller,2001.0,3.22,38
1019880,Toc Toc (2017),Comedy,2017.0,2.99,38
332104,"Fifth Estate, The (2013)",Drama|Thriller,2013.0,3.7,38
901793,Strange Magic (2015),Animation|Children|Fantasy|Musical,2015.0,4.03,38
1044753,Underworld: Blood Wars (2016),Action|Horror,2016.0,3.28,38
191695,Child 44 (2015),Crime|Thriller,2015.0,2.47,38
1021439,Tony Manero (2008),Crime|Drama,2008.0,1.0,38
305249,"Erased (Expatriate, The) (2012)",Action|Thriller,2012.0,3.59,38
576352,"Librarian, The: The Curse of the Judas Chalice (2008)",Action|Adventure|Fantasy,2008.0,3.34,38
55685,Analyze That (2002),Comedy|Crime,2002.0,3.38,38
1004370,The Wonder (2022),Drama|Mystery|Thriller,2022.0,3.33,38
515966,J. Edgar (2011),Drama,2011.0,3.26,38
699447,"Numbers Station, The (2013)",Action|Thriller,2013.0,3.17,38
867157,Soul Surfer (2011),Action|Drama,2011.0,4.3,38
652040,Mirage (2018),Drama|Sci-Fi|Thriller,2018.0,3.64,38
864377,Someone Great (2019),Comedy|Romance,2019.0,3.47,38
530801,Joshy (2016),Comedy,2016.0,3.49,38
855060,Slumberland (2022),Adventure|Children|Fantasy,2022.0,3.5,38
1095484,Woman at War (2018),Action|Thriller,2018.0,3.96,38
123185,Bit (2019),Comedy|Horror,2019.0,3.53,38
974849,The Lost City (2022),Action|Adventure|Comedy|Romance,2022.0,2.49,38
856444,Small Town Crime (2017),Crime|Thriller,2017.0,2.61,38
539245,K-19: The Widowmaker (2002),Action|Adventure|Drama|Thriller,2002.0,3.57,38
413828,He Even Has Your Eyes (2017),Comedy,2017.0,3.22,38
954031,The Green Inferno (2014),Horror|Thriller,2014.0,2.71,38
96228,Bad Luck Banging or Loony Porn (2021),Comedy|Drama,2021.0,3.18,38
786129,Renaissance (2006),Action|Animation|Film-Noir|Sci-Fi|Thriller,2006.0,3.05,38
177400,Capturing the Friedmans (2003),Documentary,2003.0,3.76,38
413574,Haute Cuisine (2012),Drama,2012.0,3.29,38
415761,Heist (2001),Crime|Drama,2001.0,3.04,38
98858,"Band's Visit, The (Bikur Ha-Tizmoret) (2007)",Comedy|Drama,2007.0,4.12,38
658961,Monsieur Ibrahim (Monsieur Ibrahim et les fleurs du Coran) (2003),Drama,2003.0,4.38,37
807695,Safe Haven (2013),Drama|Mystery|Romance,2013.0,3.61,37
754100,Poker Night (2014),Action|Crime|Thriller,2014.0,2.58,37
847837,Simone (S1m0ne) (2002),Comedy|Drama|Fantasy|Sci-Fi,2002.0,3.26,37
1089580,Wimbledon (2004),Comedy|Romance,2004.0,3.24,37
460247,Ice Age 4: Continental Drift (2012),Adventure|Animation|Comedy,2012.0,2.61,37
222832,Creep (2004),Horror|Thriller,2004.0,2.39,37
974723,The Loft (2014),Thriller,2014.0,2.96,37
200639,"Class, The (Klass) (2007)",Drama,2007.0,4.35,37
364479,Giant Little Ones (2018),Drama,2018.0,4.09,37
615635,Madagascar 3: Europe's Most Wanted (2012),Adventure|Animation|Children|Comedy|IMAX,2012.0,3.31,37
602050,Lords of Chaos (2018),Drama|Horror|Thriller,2018.0,3.72,37
191654,Chico & Rita (2010),Animation|Musical|Romance,2010.0,3.51,37
677769,Muppets Most Wanted (2014),Adventure|Comedy|Crime,2014.0,3.92,37
714351,One Night with the King (2006),Drama,2006.0,3.68,37
852683,"Sky Crawlers, The (Sukai kurora) (2008)",Adventure|Animation|Drama,2008.0,4.2,37
808578,Salmon Fishing in the Yemen (2011),Comedy|Drama|Romance,2011.0,2.57,37
573044,Left Behind: The Movie (2000),Action|Adventure|Drama|Thriller,2000.0,2.3,37
155805,Bride Wars (2009),Comedy|Romance,2009.0,3.65,37
969608,The Last Family (2016),Drama,2016.0,4.27,37
384129,"Grandmaster, The (Yi dai zong shi) (2013)",Action|Drama|IMAX,2013.0,3.0,37
903408,Street Kings (2008),Crime|Drama|Thriller,2008.0,3.15,37
111561,Ben Is Back (2018),Drama,2018.0,3.72,37
1102829,Wyrmwood (2015),Action|Horror|Sci-Fi,2015.0,3.03,37
917775,T-34 (2018),Adventure|Drama|War,2018.0,3.47,37
159545,Broken Embraces (Los abrazos rotos) (2009),Drama|Romance|Thriller,2009.0,3.7,37
642946,"Mermaid, The (Rusalka) (2007)",Comedy|Drama|Fantasy,2007.0,3.43,37
414254,Head in the Clouds (2004),Drama|Romance|War,2004.0,2.14,37
254778,Devdas (2002),Musical|Romance,2002.0,4.0,37
91507,Awake (2021),Action|Adventure|Drama|Sci-Fi|Thriller,2021.0,3.86,37
777143,Rambo: Last Blood (2019),Action,2019.0,2.81,37
561601,Kung Fu Panda 3 (2016),Action|Adventure|Animation,2016.0,3.97,37
141404,Bobby (2006),Drama,2006.0,3.97,37
792215,Resident Evil: The Final Chapter (2017),Action|Horror|Sci-Fi,2017.0,2.16,37
988023,The Place (2017),Comedy|Drama,2017.0,3.35,37
1039151,"Twilight Samurai, The (Tasogare Seibei) (2002)",Drama|Romance,2002.0,3.99,37
783480,Red Planet (2000),Action|Sci-Fi|Thriller,2000.0,2.58,37
372386,"God Who Wasn't There, The (2005)",Documentary,2005.0,3.89,37
237740,Dark Water (Honogurai mizu no soko kara) (2002),Drama|Horror|Mystery|Thriller,2002.0,3.8,37
105097,Beau Is Afraid (2023),Adventure|Comedy|Fantasy,2023.0,2.05,37
722291,"Pacifier, The (2005)",Action|Comedy,2005.0,3.99,37
851847,Six Shooter (2004),Comedy|Drama,2004.0,3.62,37
346212,Free Birds (2013),Action|Adventure|Animation|Children|Comedy|Sci-Fi,2013.0,2.58,37
746254,Pina (2011),Documentary|Musical,2011.0,4.05,37
633890,Mechanic: Resurrection (2016),Action|Crime|Thriller,2016.0,3.18,37
306139,Escape Plan 2: Hades (2018),Action|Crime|Thriller,2018.0,2.03,37
1036269,Tsotsi (2005),Crime|Drama,2005.0,3.49,37
20305,88 Minutes (2008),Crime|Drama|Mystery|Thriller,2008.0,3.64,37
1002771,The Wind (2018),Horror|Western,2018.0,2.57,37
1114147,Your Sister's Sister (2011),Comedy|Drama,2011.0,3.53,37
807170,Russian Ark (Russkiy Kovcheg) (2002),Drama|Fantasy|War,2002.0,3.12,37
442135,House of Wax (2005),Horror|Thriller,2005.0,2.88,37
870649,Speak (2004),Drama,2004.0,4.05,37
466934,In Fabric (2018),Comedy|Horror,2018.0,3.11,37
742957,"Pervert's Guide to Cinema, The (2006)",Documentary,2006.0,4.31,37
1037525,"Turn Me On, Dammit! (Få meg på, for faen) (2011)",Comedy,2011.0,3.94,36
1004115,The Wolfpack (2015),Documentary,2015.0,4.78,36
323308,Extremely Loud and Incredibly Close (2011),Drama,2011.0,3.86,36
1002454,The Whisperer in Darkness (2011),Horror|Mystery|Sci-Fi|Thriller,2011.0,1.57,36
108245,Bedevilled (Kim Bok-nam salinsageonui jeonmal) (2010),Crime|Drama|Horror,2010.0,3.92,36
647804,Mildred Pierce (2011),Drama,2011.0,3.81,36
316070,Everything Must Go (2010),Comedy|Drama,2010.0,3.35,36
611125,Luther (2003),Drama,2003.0,3.49,36
998965,The Titan (2018),Sci-Fi,2018.0,1.92,36
969857,The Last Thing He Wanted (2020),Crime|Drama|Mystery,2020.0,1.89,36
1089271,Wild Wild Country (2018),Documentary,2018.0,4.54,36
468863,In the House (2012),Comedy|Drama|Mystery|Thriller,2012.0,3.31,36
1002524,The White Tiger (2020),Drama,2020.0,3.64,36
160240,Brooklyn's Finest (2010),Crime|Drama|Thriller,2010.0,2.61,36
265295,Do You Trust this Computer? (2018),Documentary,2018.0,3.72,36
819639,Secret Things (Choses secrètes) (2002),Drama,2002.0,1.25,36
412907,Harvie Krumpet (2003),Animation|Comedy|Drama,2003.0,3.94,36
673497,"Mudge Boy, The (2003)",Drama,2003.0,4.28,36
977618,The Mansion (2017),Comedy|Horror,2017.0,1.72,36
697835,Nothing to Hide (2018),Comedy|Drama,2018.0,3.28,36
413271,Hatred (2016),Drama|War,2016.0,2.47,36
222642,Creators: The Past (2020),Action|Adventure|Drama|Fantasy|Mystery|Romance|Sci-Fi,2020.0,4.5,36
1037947,Twice Born (Venuto al mondo) (2012),Drama|Romance|War,2012.0,3.28,36
667760,Mostly Martha (Bella Martha) (2001),Comedy|Drama|Romance,2001.0,3.76,36
379186,Goon (2011),Comedy|Drama,2011.0,3.43,36
987245,The Pacific (2010),Action|Adventure|Drama|War,2010.0,4.01,36
355316,"Game Plan, The (2007)",Comedy,2007.0,2.65,36
316801,Evil Dead Rise (2023),Horror|Thriller,2023.0,3.28,36
212471,Confidence (2003),Crime|Thriller,2003.0,3.06,36
765093,"Prince & Me, The (2004)",Comedy|Romance,2004.0,4.06,36
897991,Starred Up (2013),Drama,2013.0,3.85,36
229486,Dance of the Dead (2008),Adventure|Comedy|Horror,2008.0,2.44,36
522623,John Mulaney: The Comeback Kid (2015),Comedy,2015.0,4.1,36
827643,Seventh Son (2014),Adventure|Children|Fantasy,2014.0,3.06,36
521979,Joe Dirt (2001),Adventure|Comedy|Mystery|Romance,2001.0,3.5,36
74633,Artificial Paradises (2012),Drama,2012.0,2.85,36
1029697,Trapped (2002),Action|Thriller,2002.0,3.4,36
117636,"Big Kahuna, The (2000)",Comedy|Drama,2000.0,4.33,36
430973,Hitman: Agent 47 (2015),Action|Crime|Thriller,2015.0,3.43,36
1076622,"Way of the Gun, The (2000)",Crime|Thriller,2000.0,3.29,36
104735,Beast (2018),Drama,2018.0,3.56,36
569026,Last Life in the Universe (Ruang rak noi nid mahasan) (2003),Drama|Romance,2003.0,3.85,36
864909,Son of Saul (2015),Drama,2015.0,3.01,36
8661,2036 Origin Unknown (2018),Sci-Fi,2018.0,1.74,36
869897,Southpaw (2015),Action|Drama,2015.0,3.65,36
337627,Flickering Lights (Blinkende lygter) (2000),Action|Comedy|Crime,2000.0,4.14,36
658817,Mongol (2007),Drama|War,2007.0,3.38,36
730787,Parallel Mothers (2021),Drama,2021.0,3.47,36
225316,Cube Zero (2004),Horror|Mystery|Sci-Fi|Thriller,2004.0,4.04,36
655258,Mississippi Grind (2015),Drama,2015.0,3.54,36
209592,"Collector, The (2009)",Crime|Horror|Thriller,2009.0,3.82,36
835333,"Shipping News, The (2001)",Drama,2001.0,3.54,36
865622,Sophie Jones (2020),Drama,2020.0,2.89,36
736765,Paths of the Soul (2015),(no genres listed),2015.0,4.79,36
92183,Baahubali: The Beginning (2015),Action|Drama,2015.0,3.96,36
1076106,"Water Diviner, The (2014)",Action|Drama|War,2014.0,3.93,36
615771,Made in Dagenham (2010),Comedy|Drama,2010.0,3.71,35
816873,Scouts Guide to the Zombie Apocalypse (2015),Action|Comedy|Horror,2015.0,3.11,35
331368,Feast (2005),Action|Comedy|Horror|Thriller,2005.0,2.36,35
457311,I'm Your Man (2021),Comedy|Romance|Sci-Fi,2021.0,3.7,35
754758,Poltergeist (2015),Horror|Thriller,2015.0,3.17,35
289653,Earth to Echo (2014),Adventure|Children|Sci-Fi,2014.0,3.33,35
1004080,The Wolf's Call (2019),Drama|Thriller,2019.0,4.13,35
771233,"Puffy Chair, The (2006)",Drama|Romance,2006.0,3.87,35
49477,American Assassin (2017),Action|Thriller,2017.0,2.86,35
500061,Into the Inferno (2016),Documentary,2016.0,3.6,35
942243,The Clovehitch Killer (2018),Horror|Thriller,2018.0,3.46,35
299825,"End of Poverty, The (2008)",Documentary,2008.0,4.66,35
10200,21 and Over (2013),Comedy,2013.0,3.36,35
1112651,Young Ones (2014),Drama|Sci-Fi|Western,2014.0,3.56,35
223713,"Crimson Rivers, The (Rivières pourpres, Les) (2000)",Crime|Drama|Mystery|Thriller,2000.0,3.54,35
822759,"Sentinel, The (2006)",Crime|Drama|Thriller,2006.0,3.47,35
1086002,White Fang (2018),Animation|Drama,2018.0,4.3,35
1112431,Young & Beautiful (2013),Drama,2013.0,4.03,35
37037,After the Storm (2016),Children|Drama,2016.0,3.86,35
360181,Getaway Plan (2017),Action|Thriller,2017.0,2.87,35
835060,Sherlock: The Abominable Bride (2016),Crime|Drama|Mystery,2016.0,4.36,35
202302,Close (2022),Drama,2022.0,3.44,35
218621,Couples Retreat (2009),Comedy|Romance,2009.0,2.76,35
642736,Men of Honor (2000),Drama,2000.0,3.29,35
1121035,Zoolander 2 (2016),Comedy,2016.0,2.47,35
686468,Next Door (Naboer) (2005),Horror|Mystery|Thriller,2005.0,4.1,35
415430,"Hedgehog, The (Le hérisson) (2009)",Comedy|Drama,2009.0,4.06,35
351382,"Frozen Ground, The (2013)",Crime|Drama|Thriller,2013.0,3.07,35
563369,La Luna (2011),Animation,2011.0,3.94,35
974768,The Longest Ride (2015),Drama|Romance,2015.0,3.41,35
1082934,Where the Crawdads Sing (2022),Drama|Mystery,2022.0,3.5,35
312688,Euthanizer (2017),Drama|Thriller,2017.0,4.0,35
426815,Hide and Seek (2005),Horror|Mystery|Thriller,2005.0,3.96,35
154815,Breakfast on Pluto (2005),Comedy|Drama,2005.0,3.01,35
302203,Enough Said (2013),Comedy|Drama|Romance,2013.0,3.39,35
945933,The Dirt (2019),Comedy|Drama,2019.0,4.13,35
1063581,Victor Frankenstein (2015),Drama|Horror|Sci-Fi,2015.0,3.11,35
350215,Frontière(s) (2007),Drama|Horror|Thriller,2007.0,2.61,35
479696,"Incredible Burt Wonderstone, The (2013)",Comedy,2013.0,3.39,35
828830,Shaft (2000),Action|Crime|Thriller,2000.0,3.37,35
998112,The Swimmers (2014),Horror,2014.0,3.0,35
491141,Insidious: Chapter 3 (2015),Fantasy|Horror|Thriller,2015.0,2.41,35
604724,Lou (2022),Action|Thriller,2022.0,3.51,35
227288,DOA: Dead or Alive (2006),Action|Adventure,2006.0,2.41,35
883587,Spoor (2017),Drama,2017.0,3.46,35
689737,Nim's Island (2008),Adventure|Comedy|Fantasy,2008.0,3.66,35
584861,Little Monsters (2019),Comedy|Horror,2019.0,3.5,35
1062116,Veronica Mars (2014),Comedy|Crime|Drama,2014.0,3.36,35
27148,A Walk in the Woods (2015),Adventure|Comedy|Drama,2015.0,3.27,35
225163,Cry_Wolf (a.k.a. Cry Wolf) (2005),Drama|Horror|Mystery|Thriller,2005.0,3.06,35
922111,Taxi 3 (2003),Action|Comedy,2003.0,3.43,35
737794,Pawn Sacrifice (2015),Drama,2015.0,3.64,35
110705,Behind the Candelabra (2013),Drama,2013.0,3.16,35
56869,Andhadhun (2018),Mystery|Romance|Thriller,2018.0,3.76,35
969000,The Kindergarten Teacher (2018),Drama,2018.0,3.59,35
1000597,The Untamed (2016),(no genres listed),2016.0,1.6,35
239100,David Attenborough: A Life on Our Planet (2020),Documentary,2020.0,4.54,35
27028,A United Kingdom (2016),Drama,2016.0,2.73,35
313397,Everybody's Fine (2009),Drama,2009.0,4.06,35
797992,Robin Williams: Come Inside My Mind (2018),Documentary,2018.0,4.83,35
170061,"Call of Cthulhu, The (2005)",Horror|Thriller,2005.0,3.47,35
1062005,Vera Drake (2004),Drama,2004.0,4.23,35
921760,"Tao of Steve, The (2000)",Comedy,2000.0,3.17,35
6955,2 Days in Paris (2007),Comedy|Drama|Romance,2007.0,3.41,35
249206,Decision to Leave (2022),Crime|Drama|Mystery|Romance,2022.0,3.16,35
755453,Pooh's Heffalump Movie (2005),Animation|Children,2005.0,3.39,35
57288,"Angels' Share, The (2012)",Comedy|Drama,2012.0,3.59,35
332156,Fifty Shades Darker (2017),Drama|Romance,2017.0,2.94,35
1103505,X+Y (2014),Comedy|Drama,2014.0,4.04,35
1090575,Wine Country (2019),Comedy,2019.0,2.53,35
348430,Friday Night Lights (2004),Action|Drama,2004.0,3.71,34
965018,The Insult (2017),Drama,2017.0,4.63,34
1079974,Werckmeister Harmonies (Werckmeister harmóniák) (2000),Drama,2000.0,4.46,34
140174,Blue Jay (2016),Drama,2016.0,3.9,34
673249,Much Ado About Nothing (2012),Comedy|Drama|Romance,2012.0,3.32,34
372439,God's Crooked Lines (2022),Drama|Mystery|Thriller,2022.0,4.24,34
775202,"Quiet, The (2005)",Crime|Drama|Mystery|Thriller,2005.0,3.59,34
670189,Moxie (2021),Comedy|Drama,2021.0,3.75,34
930968,The 12th Man (2017),Drama|War,2017.0,2.9,34
1006813,"Thick as Thieves (a.k.a. Code, The) (2009)",Crime,2009.0,3.19,34
1076165,Water Lilies (Naissance des pieuvres) (2007),Drama,2007.0,3.81,34
365132,Girl (2020),Thriller,2020.0,1.94,34
190195,Cheaper by the Dozen (2003),Children|Comedy,2003.0,3.49,34
38797,Alfie (2004),Comedy|Drama|Romance,2004.0,3.53,34
948263,The Fallout (2021),Drama,2021.0,2.75,34
470148,"Inbetweeners Movie, The (2011)",Adventure|Comedy,2011.0,3.04,34
765889,Prison Break: The Final Break (2009),Action|Drama|Thriller,2009.0,4.18,34
6875,1:54 (2016),Drama,2016.0,3.66,34
323903,"Faces, Places (2017)",Documentary,2017.0,3.91,34
998931,The Tinder Swindler (2022),Documentary,2022.0,3.4,34
753555,Planet of the Humans (2019),Documentary,2019.0,4.25,34
864699,Somewhere (2010),Drama,2010.0,3.71,34
899317,Stealth (2005),Action|Adventure|Sci-Fi|Thriller,2005.0,2.72,34
67854,Aquamarine (2006),Children|Comedy|Fantasy,2006.0,2.74,34
859458,Snow White (Blancanieves) (2012),Drama,2012.0,4.0,34
718653,Ouija (2014),Horror,2014.0,2.54,34
943382,The Courier (2021),Drama|Thriller,2021.0,3.85,34
1068449,WHAT DID JACK DO? (2017),Crime|Drama,2017.0,3.03,34
828267,Shade (2003),Crime|Drama|Thriller,2003.0,3.22,34
141508,Bodom (2016),Horror,2016.0,2.18,34
467181,In July (Im Juli) (2000),Comedy|Romance,2000.0,4.6,34
166074,"Butterfly, The (Papillon, Le) (2002)",Comedy|Drama,2002.0,3.72,34
194429,Chip 'n Dale: Rescue Rangers (2022),Adventure|Animation|Children|Comedy|Fantasy|Mystery,2022.0,3.63,34
136259,Bless the Child (2000),Thriller,2000.0,3.69,34
752281,"Place Promised in Our Early Days, The (Kumo no mukô, yakusoku no basho) (2004)",Animation|Drama|Romance|Sci-Fi|War,2004.0,3.94,34
951194,The Friend (2019),Drama,2019.0,4.91,34
299203,Employee of the Month (2006),Comedy,2006.0,3.66,34
715619,Open Hearts (Elsker dig for evigt) (2002),Romance,2002.0,4.09,34
520639,Jerry & Marge Go Large (2022),Comedy,2022.0,3.69,34
719042,Out of Blue (2019),Crime|Drama,2019.0,3.29,34
249329,"Deep Blue Sea, The (2011)",Drama|Romance,2011.0,2.26,34
402628,Hannah Montana: The Movie (2009),Comedy|Drama|Musical|Romance,2009.0,3.0,34
1057037,Vacancy (2007),Horror|Thriller,2007.0,3.37,34
950870,The Frame (2014),Crime|Drama|Fantasy|Romance|Thriller,2014.0,3.44,34
550697,"Kingdom of Dreams and Madness, The (2013)",Animation|Documentary,2013.0,3.44,34
1020265,Tokyo Gore Police (Tôkyô zankoku keisatsu) (2008),Action|Horror,2008.0,3.12,34
564902,Lady Macbeth (2017),Drama,2017.0,3.34,34
921001,Tallulah (2016),Drama,2016.0,3.21,34
